Short name,Name,Alias/MPC cpde,Alternative,Suggested standard name
,Baldwin Lake,G77,,Baldwin Lake
,Ball State University Observatory,,,Ball State University Observatory
,"Balzaretto Observatory, Rome",A81,,"Balzaretto Observatory, Rome"
,Bamberg,K46,,Bamberg
,Bangladesh Astronomical Observatgory,,,Bangladesh Astronomical Observatgory
,Banyoles,B87,,Banyoles
,"Bar J Observatory, New Smyrna Beach",H74,,"Bar J Observatory, New Smyrna Beach"
,Barao Geraldo,861,,Barao Geraldo
,Bareket Observatory,,,Bareket Observatory
,"Bareket Observatory, Macabim",B35,,"Bareket Observatory, Macabim"
,Barfold,E01,,Barfold
,Barlad Observatory,L22,,Barlad Observatory
,Barnard Observatory,,,Barnard Observatory
,Barnett Observatory,,,Barnett Observatory
,"Barred Owl Observatory, Carp",I27,,"Barred Owl Observatory, Carp"
,Barton,416,,Barton
,"BAS Observatory, Scandicci",G17,,"BAS Observatory, Scandicci"
,Bassano Bresciano,565,,Bassano Bresciano
,Bastia,197,,Bastia
,Bastidan Observatory,D11,,Bastidan Observatory
,Baugy,237,,Baugy
,"Baxter Garden Observatory, Salisbury",I74,,"Baxter Garden Observatory, Salisbury"
,"Bayerwald Sternwarte, Neuhuette",C69,,"Bayerwald Sternwarte, Neuhuette"
,"Bayerwald Sternwarte, Spiegelau",K67,,"Bayerwald Sternwarte, Spiegelau"
,Bayfordbury Observatory,,,Bayfordbury Observatory
BBXRT,Broad Band X-ray Telescope,,,BBXRT
,"BCC Observatory, Cocoa",758,,"BCC Observatory, Cocoa"
,"BDI Observatory, Regents Park",E18,,"BDI Observatory, Regents Park"
,Beaconsfield,J92,,Beaconsfield
,Bedoin,132,,Bedoin
,Beersel Hills Observatory,200,,Beersel Hills Observatory
BEFS,Berkeley Extreme Ultraviolet Spectrometer,,,BEFS
,Behlen Observatory,,,Behlen Observatory
,Beiging Astronomical Observatory,,,Beiging Astronomical Observatory
,Beilen Observatory,B85,,Beilen Observatory
,Beine-Nauroy,149,,Beine-Nauroy
,Belesta,A05,,Belesta
,Belgrade,057,,Belgrade
,Belgrade Observatory,,,Belgrade Observatory
,"Bellavista Observatory, L'Aquila",C93,,"Bellavista Observatory, L'Aquila"
,Belogradchik Observatory,,,Belogradchik Observatory
,Bendestorf,506,,Bendestorf
,Benmore Peak Observatory,,,Benmore Peak Observatory
,"Beppe Forti Astronomical Observatory, Montelupo",K83,,"Beppe Forti Astronomical Observatory, Montelupo"
BeppoSAX,Satellite per Astronomia X,,,BeppoSAX
,Bergen-Enkheim Observatory,A74,,Bergen-Enkheim Observatory
,Bergisch Gladbach Observatory,621,,Bergisch Gladbach Observatory
,Berkeley Heights,H93,,Berkeley Heights
,Berlin (1835-1913),548,,Berlin (1835-1913)
,Berlin Observatory,,,Berlin Observatory
,Berlin-Babelsberg,536,,Berlin-Babelsberg
,Berne-Uecht,009,,Berne-Uecht
,Berne-Zimmerwald,026,,Berne-Zimmerwald
,Bernezzo Observatory,C77,,Bernezzo Observatory
,Berri,D97,,Berri
,"Berta Observatory, Sabadell",C12,,"Berta Observatory, Sabadell"
,"Berthelot Observatory, Hunedoara",L54,,"Berthelot Observatory, Hunedoara"
,Besancon Observatory,016,,Besancon Observatory
BESS,Balloon-borne Experiment with a Superconducting Spectrometer,,,BESS
,BETA,,,BETA
,Betera,I58,,Betera
,"Beverly-Begg Observatory, Dunedin",R58,,"Beverly-Begg Observatory, Dunedin"
,Bibai,406,,Bibai
,Bidston Observatory,,,Bidston Observatory
,Big Bear Lake Solar Observatory,,,Big Bear Lake Solar Observatory
,"Big Cypress Observatory, Fort Lauderdale",452,,"Big Cypress Observatory, Fort Lauderdale"
,Big Water,V03,,Big Water
,"Bigmuskie Observatory, Mombercelli",B88,,"Bigmuskie Observatory, Mombercelli"
,Bilbao,J74,,Bilbao
,Biosphere 2 Observatory,853,,Biosphere 2 Observatory
,Birkdale,Q80,,Birkdale
,Bisdee Tier Optical Astronomical Observatory,,,Bisdee Tier Optical Astronomical Observatory
,Bisei Spaceguard Center-BATTeRS,300,,Bisei Spaceguard Center-BATTeRS
,Bishopstoke,496,,Bishopstoke
,"Bixhoma Observatory, Bixby",H33,,"Bixhoma Observatory, Bixby"
,Black Forest,V34,,Black Forest
,Black Moshannon Observatory,,,Black Moshannon Observatory
,"Black Mountain Observatory, Los Altos",U57,,"Black Mountain Observatory, Los Altos"
,"BlackBird Observatory, Cloudcroft",H08,,"BlackBird Observatory, Cloudcroft"
,Blackett Observatory,,,Blackett Observatory
,Blackrock Castle Observatory,I90,,Blackrock Castle Observatory
,Blanes,C86,,Blanes
BLAST,Balloon-borne Large Aperture Submillimeter Telescope,,,BLAST
,Blauvac,627,,Blauvac
,Blue Canyon Observatory,G64,,Blue Canyon Observatory
,Blue Mesa Observatory,,,Blue Mesa Observatory
,"Blue Mountains Observatory, Leura",Q68,,"Blue Mountains Observatory, Leura"
,Boambee Observatory,432,,Boambee Observatory
BOAO,Bohunsan Optical Astronomy Observatory,,,BOAO
,Bocholt,B48,,Bocholt
,Bohyunsan Optical Astronomy Observatory,344,,Bohyunsan Optical Astronomy Observatory
,Bollwiller,B91,,Bollwiller
Bolocam,Bolometric Camera,,,Bolocam
,Bologna,281,,Bologna
,"Boltwood Observatory, Stittsville",772,,"Boltwood Observatory, Stittsville"
,Bolzaneto,A88,,Bolzaneto
,Bonn,520,,Bonn
BOOTES,Burst Observer and Optical Transient Exploring System,,,BOOTES
,"Bootes Observatory, Boecillo",J05,,"Bootes Observatory, Boecillo"
,"BOOTES-2 Observatory, Algarrobo",Z82,,"BOOTES-2 Observatory, Algarrobo"
,Bordeaux Observatory,,,Bordeaux Observatory
,Bordeaux-Floirac,999,,Bordeaux-Floirac
,Borken,B59,,Borken
,Bornheim,127,,Bornheim
,Bosscha Observatory,299,,Bosscha Observatory
,Boswell Observatory,,,Boswell Observatory
,"BOSZA Observatory, Szalanta",L79,,"BOSZA Observatory, Szalanta"
,Bothkamp,603,,Bothkamp
,"Boulder Knolls Observatory, Escondido",G74,,"Boulder Knolls Observatory, Escondido"
,Bowman Observatory,,,Bowman Observatory
,Boyden Observatory,,,Boyden Observatory
,"Boyden Observatory, Bloemfontein",074,,"Boyden Observatory, Bloemfontein"
,"Boyeros Observatory, Havana",771,,"Boyeros Observatory, Havana"
,"Bradbury Observatory, Stockton-on-Tees",937,,"Bradbury Observatory, Stockton-on-Tees"
,Bradford Robotic Telescope,J54,,Bradford Robotic Telescope
,Bradley Observatory,,,Bradley Observatory
,Bradstreet Observatory,,,Bradstreet Observatory
,Braeside Observatory,,,Braeside Observatory
,Brainerd,726,,Brainerd
,Bray et Lu,144,,Bray et Lu
,"Bredenkamp Observatory, Bremen",L65,,"Bredenkamp Observatory, Bremen"
,Brelingen,B62,,Brelingen
,Bremen,283,,Bremen
,Brere Observatory,,,Brere Observatory
,Brescia,K86,,Brescia
,Breslau,547,,Breslau
,Bridgewater State University Observatory,,,Bridgewater State University Observatory
,Brignoles Observatory,G20,,Brignoles Observatory
,"Brixiis Observatory, Kruibeke",B96,,"Brixiis Observatory, Kruibeke"
,Brno,616,,Brno
,Brooklyn Park,D87,,Brooklyn Park
,"Brooks Astronomical Observatory (Mount Pleasant, MI)",,,"Brooks Astronomical Observatory (Mount Pleasant, MI)"
,"Brooks Observatory (Toledo, OH)",,,"Brooks Observatory (Toledo, OH)"
,"Brooks Observatory, Mt. Pleasant",746,,"Brooks Observatory, Mt. Pleasant"
,Brorfelde Observatory,054,,Brorfelde Observatory
,"Brownstown Observatory, Kilcloon",J61,,"Brownstown Observatory, Kilcloon"
,"Bruno Zugna Observatory, Trieste",228,,"Bruno Zugna Observatory, Trieste"
,"Brynllefrith Observatory, Llantwit Fardre",J58,,"Brynllefrith Observatory, Llantwit Fardre"
,"BSA Osservatorio, Savigliano",K76,,"BSA Osservatorio, Savigliano"
,"BSCR Observatory, Santa Maria a Monte",K47,,"BSCR Observatory, Santa Maria a Monte"
,"BSH Byulsem Observatory, Busan",P73,,"BSH Byulsem Observatory, Busan"
,Bucharest,073,,Bucharest
,Bucharest Observatory,,,Bucharest Observatory
,Buchloe,215,,Buchloe
,Bucknell Observatory,,,Bucknell Observatory
,Buehler Observatory,H77,,Buehler Observatory
,Buenos Aires-AAAA,834,,Buenos Aires-AAAA
,Bulach Observatory,167,,Bulach Observatory
,"Burgsolms Observatory, Wetzlar",554,,"Burgsolms Observatory, Wetzlar"
,Burjassot,J99,,Burjassot
,"Burke-Gaffney Observatory, Halifax",851,,"Burke-Gaffney Observatory, Halifax"
,"Burleith Observatory, Washington D.C.",I13,,"Burleith Observatory, Washington D.C."
,Burlington remote site,293,,Burlington remote site
,"Burlington, New Jersey",292,,"Burlington, New Jersey"
,"Burnt Tree Hill Observatory, Cle Elum",U63,,"Burnt Tree Hill Observatory, Cle Elum"
,Burrell Memorial Observatory,,,Burrell Memorial Observatory
,Burwash,576,,Burwash
,Busot,J02,,Busot
,Buthiers,199,,Buthiers
,"Byrne Observatory, Sedgwick Reserve",G51,,"Byrne Observatory, Sedgwick Reserve"
,Byurakan,123,,Byurakan
,Byurakan Observatory,,,Byurakan Observatory
,Ca del Monte,B14,,Ca del Monte
,"Cademuir Observatory, Dalkey",Z72,,"Cademuir Observatory, Dalkey"
,Cagigal Observatory,,,Cagigal Observatory
,Cagliara Observatory,,,Cagliara Observatory
,Caimari,B81,,Caimari
,Calais Observatory,,,Calais Observatory
,Calar Alto Observatory,493,,Calar Alto Observatory
,Calar Alto TNO Survey,Z79,,Calar Alto TNO Survey
