Short name,Name,Alias/MPC cpde,Alternative,Suggested standard name
,Hard Labor Creek Observatory,,,Hard Labor Creek Observatory
,"Harlingten Research Observatory, Rancho Hildalgo",G48,,"Harlingten Research Observatory, Rancho Hildalgo"
,"Harlingten Telescope, Greenhill Observatory",Q54,,"Harlingten Telescope, Greenhill Observatory"
,Harrow,973,,Harrow
,Hartebeesthoek Radio Astronoy Observatory,,,Hartebeesthoek Radio Astronoy Observatory
,Hartley Wintney,I67,,Hartley Wintney
,Hartung-Boothroyd Observatory,H81,,Hartung-Boothroyd Observatory
,Hartwell House,997,,Hartwell House
,Harvard College Observatory,,,Harvard College Observatory
,"Harvard Observatory, Arequipa",800,,"Harvard Observatory, Arequipa"
,"Harvard Observatory, Cambridge",802,,"Harvard Observatory, Cambridge"
,Harvard-Smithsonial Center for Astrophysics,,,Harvard-Smithsonial Center for Astrophysics
,Harvest,W14,,Harvest
,"Harvest Moon Observatory, Northfield",H25,,"Harvest Moon Observatory, Northfield"
,Hat Create Radio Observatory,,,Hat Create Radio Observatory
,Hatamae,895,,Hatamae
,Haute Provence,511,,Haute Provence
,"Haute Provence Sud, Saint-Michel-l'Observatoire",K25,,"Haute Provence Sud, Saint-Michel-l'Observatoire"
,Haute-Provence Observatory,,,Haute-Provence Observatory
,Haverford,437,,Haverford
,Haverhill,968,,Haverhill
,Hawker,429,,Hawker
,"Hawkeye Observatory, Durand",H52,,"Hawkeye Observatory, Durand"
,Haystack Observatory,,,Haystack Observatory
,"Haystack, Westford",254,,"Haystack, Westford"
,"Hazardous Observatory, Mayhill",V31,,"Hazardous Observatory, Mayhill"
,Hazelbrook,Q69,,Hazelbrook
HEAO 1,High Energy Astrophysics Observatory 1,,,HEAO 1
HEAO 3,High Energy Astrophysics Observatory 3,,,HEAO 3
,"Heartland Observatory, Carmel",H60,,"Heartland Observatory, Carmel"
,"Heaven on Earth Observatory, Mayhill",V30,,"Heaven on Earth Observatory, Mayhill"
,Heavenly Owl observatory,L58,,Heavenly Owl observatory
,"Heaven's Mirror Observatory, Yass",Q56,,"Heaven's Mirror Observatory, Yass"
,Hector J Robinson Observatory,,,Hector J Robinson Observatory
,Heidelberg-Konigstuhl,024,,Heidelberg-Konigstuhl
,Heisingen,613,,Heisingen
,Helios 2,,,Helios 2
,Helium and Lead Observatory,,,Helium and Lead Observatory
,Helmos Observatory,,,Helmos Observatory
,Helsinki,569,,Helsinki
,Helsinki Univeristy Observatory,,,Helsinki Univeristy Observatory
,Helwan,087,,Helwan
,Hemet,G54,,Hemet
,Hemingford Abbots,489,,Hemingford Abbots
,Hennef,B43,,Hennef
,Hereford Arizona Observatory,G95,,Hereford Arizona Observatory
,Herne,A18,,Herne
,"Heron Cove Observatory, Orcas",659,,"Heron Cove Observatory, Orcas"
,Herrenberg Sternwarte,240,,Herrenberg Sternwarte
,Herrett Observatory,,,Herrett Observatory
,Herrsching,564,,Herrsching
Herschel,Herschel Space Observatory,,,Herschel
,Herstmonceux,501,,Herstmonceux
,Hesingue,K18,,Hesingue
HESS,"High Energy Stereoscopic System (Khomas, Namibia)",,,HESS
HETE-2,High Energy Transient Explorer Mission,,,HETE-2
,"Hibiscus Observatory, Punaauia",F84,,"Hibiscus Observatory, Punaauia"
,Hida Observatory (Kyoto University),,,Hida Observatory (Kyoto University)
,Hidaka Observatory,868,,Hidaka Observatory
,Hidden Valley Observatory,,,Hidden Valley Observatory
,"High Energy Stereoscopic System (Khomas, Namibia)",,,"High Energy Stereoscopic System (Khomas, Namibia)"
,High Point,757,,High Point
,Highland Road Park Observatory,,,Highland Road Park Observatory
,Highland Road Park Observatory,747,,Highland Road Park Observatory
,Highworth,951,,Highworth
,"HillTopTop Observatory, Edgewood",G47,,"HillTopTop Observatory, Edgewood"
,"Himalayan Chandra Telescope, IAO, Hanle",N50,,"Himalayan Chandra Telescope, IAO, Hanle"
,"Hin Hua Observatory, Klang",O50,,"Hin Hua Observatory, Klang"
,Hinode,,,Hinode
,Hipparcos,,,Hipparcos
,Hipparcos,248,,Hipparcos
,"Hirao Observatory, Yamaguchi",P87,,"Hirao Observatory, Yamaguchi"
,Hiratsuka,D88,,Hiratsuka
,Hirsch Observatory,,,Hirsch Observatory
,Hisaki (SPRINT-A),,,Hisaki (SPRINT-A)
,Hitomi,"Astro-H, NeXT",,Hitomi
HLA,Hubble Legacy Archive,,,HLA
,"HOB Observatory, Capraia Fiorentina",L63,,"HOB Observatory, Capraia Fiorentina"
,"Hobbs Observatory, Fall Creek",750,,"Hobbs Observatory, Fall Creek"
,Hobby-Eberly Telescope,,,Hobby-Eberly Telescope
,Hobss Observatory,,,Hobss Observatory
,Hoher List,017,,Hoher List
,Hoher List Observatory,,,Hoher List Observatory
,Holcomb Observatory and Planetarium,,,Holcomb Observatory and Planetarium
,Homburg-Erbach,196,,Homburg-Erbach
,Hong Kong,D17,,Hong Kong
,Hong Kong Observatory,,,Hong Kong Observatory
,"Hong Kong Space Museum, Tsimshatsui",D19,,"Hong Kong Space Museum, Tsimshatsui"
,Honjo,876,,Honjo
,Hoober Observatory,,,Hoober Observatory
,Hoogeveen,B93,,Hoogeveen
,"Hope Observatory, Belcamp",H88,,"Hope Observatory, Belcamp"
,Hopkins Observatory,,,Hopkins Observatory
,"Horizon Observatory, Petropavlovsk",C46,,"Horizon Observatory, Petropavlovsk"
,Hormersdorf Observatory,A35,,Hormersdorf Observatory
,Hottviller,141,,Hottviller
,Houston,736,,Houston
,Houstrup,471,,Houstrup
,Howell Observatory,,,Howell Observatory
,Hoyerswerda,C43,,Hoyerswerda
,Hradec Kralove,048,,Hradec Kralove
,Hradec Kralove Observatory,,,Hradec Kralove Observatory
HST,Hubble Space Telescope,,,HST
,Huairou Solar Observing Station,,,Huairou Solar Observing Station
,Hubble Deep Field,,,Hubble Deep Field
,Hubble Space Telescope,250,,Hubble Space Telescope
,Hudson,830,,Hudson
,Huelva,J37,,Huelva
,Huenfelden,K35,,Huenfelden
,Huggins Observatory,,,Huggins Observatory
,Hume Cronyn Memorial Observatory,,,Hume Cronyn Memorial Observatory
,"Hume Observatory, Santa Rosa",U54,,"Hume Observatory, Santa Rosa"
,"Hunters Hill Observatory, Ngunnawal",E14,,"Hunters Hill Observatory, Ngunnawal"
,"Hurbanovo, formerly O'Gyalla",551,,"Hurbanovo, formerly O'Gyalla"
HUT,Hopkins Ultraviolet Telescope,,,HUT
,"HUT Observatory, Eagle",H16,,"HUT Observatory, Eagle"
,Huygens,,,Huygens
,Hyde Memorial Observatory,,,Hyde Memorial Observatory
,Hyderabad,218,,Hyderabad
,"Hypatia Observatory, Rimini",L62,,"Hypatia Observatory, Rimini"
,"Hyperion Observatory, Urbanizacion Caraquiz",I96,,"Hyperion Observatory, Urbanizacion Caraquiz"
,"IAA-AI Atacama, San Pedro de Atacama",I16,,"IAA-AI Atacama, San Pedro de Atacama"
,"IAS Observatory, Hakos",221,,"IAS Observatory, Hakos"
IBEX,Interstellar Boundary Explorer,,,IBEX
,"Ibis Observatory, Manhattan",936,,"Ibis Observatory, Manhattan"
,IceCube Neutrino Observatory,,,IceCube Neutrino Observatory
,Iga-Ueno,D78,,Iga-Ueno
ILO-1,International Lunar Observatory,,,ILO-1
,IMAGE,,,IMAGE
,"Immanuel Kant Observatory,Limbach",G19,,"Immanuel Kant Observatory,Limbach"
IMP-6,Interplanetary Monitoring Platform-6,,,IMP-6
IMP-7,Interplanetary Monitoring Platform-7,,,IMP-7
IMP-8,Interplanetary Monitoring Platform-8,,,IMP-8
,"Inastars Observatory, Potsdam (before 2006)",A43,,"Inastars Observatory, Potsdam (before 2006)"
,"Inastars Observatory, Potsdam (since 2006)",B15,,"Inastars Observatory, Potsdam (since 2006)"
,Indian Hill North Observatory,H75,,Indian Hill North Observatory
,Infrared Telescope in Space,,,Infrared Telescope in Space
,Ingenio,J39,,Ingenio
,Ingle Farm,D85,,Ingle Farm
,Innsbruck,041,,Innsbruck
,Innsbruck Observatory,,,Innsbruck Observatory
,"Insperity Observatory, Humble",G41,,"Insperity Observatory, Humble"
,Instituto de Astrofisica de Canarias,,,Instituto de Astrofisica de Canarias
INTEGRAL,International Gamma-Ray Laboratory,,,INTEGRAL
,Intian Astronomical Observatory,,,Intian Astronomical Observatory
,"iota Scorpii Observatory, La Spezia",K78,,"iota Scorpii Observatory, La Spezia"
,"Iowa Robotic Observatory, Sonoita",857,,"Iowa Robotic Observatory, Sonoita"
IPN,Interplanetary Network,,,IPN
IRAM,Institut de Radioastronomie Milllimetrique,,,IRAM
,IRAM 30m telescope,,,IRAM 30m telescope
,IRAM Plateau de Bure Interferometer,,,IRAM Plateau de Bure Interferometer
,Iranian National Observatory,,,Iranian National Observatory
IRAS,Infrared Astronomical Satellite,,,IRAS
IRIS,Interface Region Imaging Spectrograph,,,IRIS
,Irmtraut,A21,,Irmtraut
,"Ironwood Observatory, Hawaii",F60,,"Ironwood Observatory, Hawaii"
,"Ironwood Remote Observatory, Hawaii",F59,,"Ironwood Remote Observatory, Hawaii"
IRSOL,Istituto Richerche Solar (Locarno),,,IRSOL
IRS-P3,Indian Remote Sensing Satellite P3,,,IRS-P3
IRTF,NASA Infrared Telescope Facility,,,IRTF
,"Irydeo Observatory, Camarma de Esteruelas",Z41,,"Irydeo Observatory, Camarma de Esteruelas"
,Isaac Newton Group of Telescopes,,,Isaac Newton Group of Telescopes
,"Isarwinkel Observatory, Bad Tolz",C16,,"Isarwinkel Observatory, Bad Tolz"
ISEE-3/ICE,International Sun-Earth Explorer/International Cometary Explorer,"ISEE-3, ICE",,ISEE-3/ICE
,Ishigakijima Astronomical Observatory,D44,,Ishigakijima Astronomical Observatory
,Ishiki,380,,Ishiki
,"Isle of Man Observatory, Foxdale",987,,"Isle of Man Observatory, Foxdale"
ISO,Infrared Space Observatory,,,ISO
,Iso-Heikkila Observatory,,,Iso-Heikkila Observatory
,ISON-Blagoveschensk Observatory,D53,,ISON-Blagoveschensk Observatory
,ISON-Byurakan Observatory,L96,,ISON-Byurakan Observatory
,ISON-Castelgrande Observatory,L28,,ISON-Castelgrande Observatory
,ISON-Hureltogoot Observatory,O75,,ISON-Hureltogoot Observatory
,ISON-Kislovodsk Observatory,D00,,ISON-Kislovodsk Observatory
,"ISON-NM Observatory, Mayhill",H15,,"ISON-NM Observatory, Mayhill"
,"ISON-SSO Observatory, Siding Spring",Q60,,"ISON-SSO Observatory, Siding Spring"
,ISON-Terskol Observatory,D05,,ISON-Terskol Observatory
,ISON-Ussuriysk Observatory,C15,,ISON-Ussuriysk Observatory
,ISON-Uzhgorod Observatory,K99,,ISON-Uzhgorod Observatory
,Istanbul,080,,Istanbul
,Istanbul University Observatory,,,Istanbul University Observatory
,"iTelescope Observatory, Mayhill",H06,,"iTelescope Observatory, Mayhill"
,"iTelescope Observatory, Nerpio",I89,,"iTelescope Observatory, Nerpio"
,"iTelescope Observatory, Siding Spring",Q62,,"iTelescope Observatory, Siding Spring"
,"iTelescope SRO Observatory, Auberry",U69,,"iTelescope SRO Observatory, Auberry"
IUE,International Ultraviolet Explorer,,,IUE
,"Ivywood Observatory, Edmond",H29,,"Ivywood Observatory, Edmond"
,Iwaki,412,,Iwaki
IXAE,Indian X-ray Astronomy Experiment,,,IXAE
IXPE,Imaging X-ray Polarimetry Explorer,,,IXPE
,"J. C. Veen Observatory, Lowell",H24,,"J. C. Veen Observatory, Lowell"
,JAC JOHOR Astronomy,,,JAC JOHOR Astronomy
,Jack C. Davis Observatory,,,Jack C. Davis Observatory
,"Jack C. Davis Observatory, Carson City",U67,,"Jack C. Davis Observatory, Carson City"
,Jaen,J28,,Jaen
,Jakarta Observatory,,,Jakarta Observatory
,Jakokoski Observatory,A83,,Jakokoski Observatory
,James Gregory Telescope,,,James Gregory Telescope
,James Wylie Shepherd Observatory,,,James Wylie Shepherd Observatory
,Jantar Mantar,,,Jantar Mantar
,Japal-Rangapur,219,,Japal-Rangapur
,"Jarnac Observatory, Vail",G92,,"Jarnac Observatory, Vail"
,"JBL Observatory, Bathurst",Q67,,"JBL Observatory, Bathurst"
JCMT,James Clerk Maxwell Telescope,,,JCMT
,JCPM Hamatonbetsu Station,394,,JCPM Hamatonbetsu Station
,JCPM Kimachi Station,891,,JCPM Kimachi Station
,JCPM Oi Station,882,,JCPM Oi Station
,JCPM Sakura Station,393,,JCPM Sakura Station
,JCPM Sapporo Station,392,,JCPM Sapporo Station
,JCPM Tone Station,890,,JCPM Tone Station
,JCPM Yakiimo Station,885,,JCPM Yakiimo Station
,Jena,032,,Jena
,Jena Observatory,,,Jena Observatory
,Jewett Observatory,,,Jewett Observatory
,JiangNanTianChi Observatory,D32,,JiangNanTianChi Observatory
,"Jimginny Observatory, Naperville",W08,,"Jimginny Observatory, Naperville"
,Jodrell Bank Observatory,,,Jodrell Bank Observatory
,Johannesburg,078,,Johannesburg
,Johannesburg-Hartbeespoort,076,,Johannesburg-Hartbeespoort
,"John J. McCarthy Obs., New Milford",932,,"John J. McCarthy Obs., New Milford"
,"Joint Obs. for cometary research, Socorro",702,,"Joint Obs. for cometary research, Socorro"
,Jonathan B. Postel Observatory,201,,Jonathan B. Postel Observatory
,Jones Observatory,,,Jones Observatory
,"Jornada Observatory, Las Cruces",715,,"Jornada Observatory, Las Cruces"
,"Josef Bresser Sternwarte, Borken",A15,,"Josef Bresser Sternwarte, Borken"
,"JPL SynTrack Robotic Telescope, Auberry",U68,,"JPL SynTrack Robotic Telescope, Auberry"
,Judson B. Coit Observatory,,,Judson B. Coit Observatory
,"Junk Bond Observatory, Sierra Vista",701,,"Junk Bond Observatory, Sierra Vista"
,Jupiter,837,,Jupiter
JWST,James Webb Space Telescope,,,JWST
K2,Kepler K2,,,K2
,Kachina Observatory,G89,,Kachina Observatory
,"Ka-Dar Observatory, Barybino",B05,,"Ka-Dar Observatory, Barybino"
,"Ka-Dar Observatory, TAU Station, Nizhny Arkhyz",C32,,"Ka-Dar Observatory, TAU Station, Nizhny Arkhyz"
,Kagiya,878,,Kagiya
,Kahoku,407,,Kahoku
,"Kairos Observatory, Letnik",L84,,"Kairos Observatory, Letnik"
Kaistsat 4,Korean Advanced Institute of Science and Technology Satellite 4,,,Kaistsat 4
,Kalamazoo,W19,,Kalamazoo
,Kaliningrad,058,,Kaliningrad
,Kambah,415,,Kambah
,Kamihoriguchi,405,,Kamihoriguchi
,Kamioka Observatory,,,Kamioka Observatory
,Kanab,682,,Kanab
,Kangwon National University Observatory,P67,,Kangwon National University Observatory
,Kangwon Science High School Observatory,D55,,Kangwon Science High School Observatory
,Kani,403,,Kani
,Kanzelhoehe Solar Observatory,,,Kanzelhoehe Solar Observatory
,Karasuyama,889,,Karasuyama
,Karl Schwarzschild Observatory,033,,Karl Schwarzschild Observatory
,Karlovy Vary Observatory,A59,,Karlovy Vary Observatory
,Karlsruhe,021,,Karlsruhe
,Karrenkneul,A45,,Karrenkneul
,Kasan,135,,Kasan
,Katori,Q24,,Katori
,Kawachi,354,,Kawachi
,Kawane,884,,Kawane
,Keck Observatory,,,Keck Observatory
,Keeble Observatory,,,Keeble Observatory
,Keele Observatory,,,Keele Observatory
,Kelmis,K85,,Kelmis
,Kempshott,Z94,,Kempshott
,Kempten,A28,,Kempten
,Kennon Observatory,,,Kennon Observatory
,"Kenting Observatory, Checheng",D33,,"Kenting Observatory, Checheng"
,"Kenting Observatory, Hengchun",D34,,"Kenting Observatory, Hengchun"
,Kepler,C55,,Kepler
Kepler,Kepler Space Observatory,,,Kepler
,Kevola Observatory,,,Kevola Observatory
,"Keyhole Observatory, San Giorgio di Mantova",K48,,"Keyhole Observatory, San Giorgio di Mantova"
,Khajeh Nasierdin Observatory,,,Khajeh Nasierdin Observatory
,Kharkov,101,,Kharkov
,"Kharkov University, Chuguevskaya Station",121,,"Kharkov University, Chuguevskaya Station"
,Kiel,526,,Kiel
,Kielce,B02,,Kielce
,Kielder Observatory,,,Kielder Observatory
,Kiev,085,,Kiev
,Kihei-AMOS Remote Maui Experimental Site,625,,Kihei-AMOS Remote Maui Experimental Site
,"Killer Rocks Observatory, Pie Town",V20,,"Killer Rocks Observatory, Pie Town"
,King City,763,,King City
,King's Observatory (London),,,King's Observatory (London)
,Kingsgrove,E19,,Kingsgrove
,"Kingsland Observatory, Boyle",J62,,"Kingsland Observatory, Boyle"
,"Kingsnake Observatory, Seguin",446,,"Kingsnake Observatory, Seguin"
,"Kinmen Educational Remote Observatory, Jincheng",P25,,"Kinmen Educational Remote Observatory, Jincheng"
,Kinver,J66,,Kinver
,Kirkwood Observatory,,,Kirkwood Observatory
,"Kislovodsk Mtn. Astronomical Stn., Pulkovo Obs.",C20,,"Kislovodsk Mtn. Astronomical Stn., Pulkovo Obs."
,Kitab,186,,Kitab
,Kitami,400,,Kitami
,Kitami Observatory,,,Kitami Observatory
,Kitt Peak,695,,Kitt Peak
,Kitt Peak National Observatory,,,Kitt Peak National Observatory
,"Kitt Peak, McGraw-Hill",697,,"Kitt Peak, McGraw-Hill"
,Kitt Peak-Bok,V00,,Kitt Peak-Bok
,Kiyosato,894,,Kiyosato
,Kiyose and Mizuho,409,,Kiyose and Mizuho
,Klet' Observatory,,,Klet' Observatory
,"Klet Observatory, Ceske Budejovice",046,,"Klet Observatory, Ceske Budejovice"
,Klet Observatory-KLENOT,246,,Klet Observatory-KLENOT
,Klosterneuburg,A96,,Klosterneuburg
,Knielingen,K42,,Knielingen
,Knocknaboola,Z56,,Knocknaboola
,KNUE Astronomical Observatory,346,,KNUE Astronomical Observatory
,Kochi,370,,Kochi
,Kodaikanal Solar Observatory,,,Kodaikanal Solar Observatory
,Kogota,356,,Kogota
,Koksijde,L12,,Koksijde
,Koln,A19,,Koln
,"Komakallio Observatory, Kirkkonummi",B65,,"Komakallio Observatory, Kirkkonummi"
,Konan,352,,Konan
,Konigsleiten,C05,,Konigsleiten
,Konkoly Observatory,,,Konkoly Observatory
,"Konkoly Observatory, Budapest (since 1934)",053,,"Konkoly Observatory, Budapest (since 1934)"
,Kopernik Observatory & Science Center,,,Kopernik Observatory & Science Center
,Korea Microlensing Telescope Network-CTIO,W93,,Korea Microlensing Telescope Network-CTIO
,Korea Microlensing Telescope Network-SAAO,L32,,Korea Microlensing Telescope Network-SAAO
,Korea Microlensing Telescope Network-SSO,Q57,,Korea Microlensing Telescope Network-SSO
,"Koschny Observatory, Noordwijkerhout",B12,,"Koschny Observatory, Noordwijkerhout"
KOSMA,Kolner Observatoriuym fur SubMillimeter Astronomie,,,KOSMA
,Kottomia,088,,Kottomia
,Kourovskaya,168,,Kourovskaya
,Kramatorsk,C04,,Kramatorsk
,Krasnodar,D04,,Krasnodar
,Krasnoyarsk,C06,,Krasnoyarsk
,Kremsmunster,539,,Kremsmunster
,Kryoneri Observatory,L10,,Kryoneri Observatory
,"KSA SEM Observatory, Danggam-dong",D58,,"KSA SEM Observatory, Danggam-dong"
,Kuban State University Astrophysical Observatory,C40,,Kuban State University Astrophysical Observatory
,Kuffner Observatory,,,Kuffner Observatory
,Kuiper Airborne Observatory,,,Kuiper Airborne Observatory
,Kuma Kogen,360,,Kuma Kogen
,Kumamoto,864,,Kumamoto
,Kurashiki Observatory,873,,Kurashiki Observatory
,Kurihara,D95,,Kurihara
,"Kuriwa Observatory, Hawkesbury Heights",E28,,"Kuriwa Observatory, Hawkesbury Heights"
,Kurohone,350,,Kurohone
,Kushiro,399,,Kushiro
,Kvant,,,Kvant
,Kvistaberg Observatory,,,Kvistaberg Observatory
,Kwasan Observatory (Kyoto),,,Kwasan Observatory (Kyoto)
,"Kwasan Observatory, Kyoto",377,,"Kwasan Observatory, Kyoto"
,Kyiv comet station,585,,Kyiv comet station
,Kyung Hee Observatory,,,Kyung Hee Observatory
,La Axarquia,J31,,La Axarquia
,La Canada,J87,,La Canada
,La Chaux de Fonds,575,,La Chaux de Fonds
,La Corte,J14,,La Corte
,La Fecha,J34,,La Fecha
,La Giustiniana,C45,,La Giustiniana
,La Mata,J64,,La Mata
,La Murta,J76,,La Murta
,La Palma,950,,La Palma
,La Palma-Liverpool Telescope,J13,,La Palma-Liverpool Telescope
,La Palma-MERCATOR,Z20,,La Palma-MERCATOR
,La Palma-NEON,J50,,La Palma-NEON
,La Palma-TNG,Z19,,La Palma-TNG
,La Plata,839,,La Plata
,La Plata Astronomical Observatory,,,La Plata Astronomical Observatory
,"La Romaneta, Monovar",Z12,,"La Romaneta, Monovar"
,"La Sagra Observatory, Puebla de Don Fadrique",L98,,"La Sagra Observatory, Puebla de Don Fadrique"
,La Seyne sur Mer,509,,La Seyne sur Mer
,La Silla Observatory,,,La Silla Observatory
,La Silla--TRAPPIST,I40,,La Silla--TRAPPIST
,Laboratoire d'Astrophysique de Grenoble,,,Laboratoire d'Astrophysique de Grenoble
,Ladd Observatory,,,Ladd Observatory
,Lahti,099,,Lahti
,"Laietania Observatory, Parets del Valles",B57,,"Laietania Observatory, Parets del Valles"
,Lake Afton Public Observatory,,,Lake Afton Public Observatory
,Lake Arrowhead,677,,Lake Arrowhead
,Lake Clear,824,,Lake Clear
,"Lake Forest Observatory, Forest Hills",G66,,"Lake Forest Observatory, Forest Hills"
,"Lake of the Woods Observatory, Locust Grove",I24,,"Lake of the Woods Observatory, Locust Grove"
,Lake Saint Louis,751,,Lake Saint Louis
,"Lakeland Astronomical Observatory, Kirtland",H73,,"Lakeland Astronomical Observatory, Kirtland"
,Lamalou-les-Bains,478,,Lamalou-les-Bains
,Lamont-Hussey Observatory,,,Lamont-Hussey Observatory
,"LAMP Observatory, New River",G88,,"LAMP Observatory, New River"
,"L'Ampolla Observatory, Tarragona",B29,,"L'Ampolla Observatory, Tarragona"
,Lancaster,980,,Lancaster
,Landehen,Z43,,Landehen
,Landessternwarte Heidelberg-Konigstuhl,,,Landessternwarte Heidelberg-Konigstuhl
,Large High Altitude Air Shower Observatory,,,Large High Altitude Air Shower Observatory
,Large Millimeter Telescope,,,Large Millimeter Telescope
,Las Brisas Observatory,,,Las Brisas Observatory
,Las Campanas Observatory,304,,Las Campanas Observatory
,Las Campanas Observatory-TIE,I05,,Las Campanas Observatory-TIE
,Las Cumbres Observatory Global Telescope,,,Las Cumbres Observatory Global Telescope
,Las Negras,I85,,Las Negras
,Laws Observatory,,,Laws Observatory
,Le Couvent de Lentin,A65,,Le Couvent de Lentin
,Le Cres,177,,Le Cres
,Le Creusot,504,,Le Creusot
,Leamington Spa,976,,Leamington Spa
,Leander McCormick Observatory,780,,Leander McCormick Observatory
,Leaoncito Astronomical Complex,,,Leaoncito Astronomical Complex
,Leavenworth,H35,,Leavenworth
,Lee Observatory,,,Lee Observatory
,"Leeside Observatory, Elgin",W61,,"Leeside Observatory, Elgin"
LEGRI,Low Energy Gamma Ray Imager,,,LEGRI
,Leiden,013,,Leiden
,Leiden (before 1860),512,,Leiden (before 1860)
,Leiden Observatory,,,Leiden Observatory
,"Leiden Station, Johannesburg",081,,"Leiden Station, Johannesburg"
,Leipzig (before 1861),543,,Leipzig (before 1861)
,Leipzig (since 1861),534,,Leipzig (since 1861)
,Leipzig Observatory,,,Leipzig Observatory
,Lelekovice,A46,,Lelekovice
,Leningrad,584,,Leningrad
,Lenkerbeck,612,,Lenkerbeck
,"Lenomiya Observatory, Casa Grande",H13,,"Lenomiya Observatory, Casa Grande"
,"Les Barres Observatory, Lamanon",K22,,"Les Barres Observatory, Lamanon"
,Les Engarouines Observatory,A14,,Les Engarouines Observatory
,Les Tardieux,133,,Les Tardieux
,Leura,E17,,Leura
,Leuschner Observatory,660,,Leuschner Observatory
,Levendaal Observatory,C26,,Levendaal Observatory
,Levenhagen Observatory,,,Levenhagen Observatory
,Leyland,J82,,Leyland
,Libbiano Observatory,B33,,Libbiano Observatory
,Lick Observatory,,,Lick Observatory
,"Lick Observatory, Mount Hamilton",662,,"Lick Observatory, Mount Hamilton"
,Liege,623,,Liege
,"LighBuckets (Rodeo, NM)",,,"LighBuckets (Rodeo, NM)"
,"LightBuckets Observatory, Pingelly",D24,,"LightBuckets Observatory, Pingelly"
,"LightBuckets Observatory, Rodeo",H11,,"LightBuckets Observatory, Rodeo"
LIGO,Laser Interferometry Gravitational-Wave Observatory,,,LIGO
,"Lijiang Station, Yunnan Observatories",O44,,"Lijiang Station, Yunnan Observatories"
,Lilienthal,280,,Lilienthal
,Lime Creek,721,,Lime Creek
,"Lincoln Laboratory ETS, New Mexico",704,,"Lincoln Laboratory ETS, New Mexico"
,Lindby,K60,,Lindby
,Linden Observatory,578,,Linden Observatory
,Lindenberg Observatory,A80,,Lindenberg Observatory
,Lindheimer Astrophysical Reasearch Center,,,Lindheimer Astrophysical Reasearch Center
,Linhaceira,938,,Linhaceira
,Linz,540,,Linz
LISA,Laser Interfermoeter Space Antenna,,,LISA
,LISA-Pathfinder,C56,,LISA-Pathfinder
,Lisbon,971,,Lisbon
,"LiShan Observatory, Lintong",O85,,"LiShan Observatory, Lintong"
,Litchfield Observatory,789,,Litchfield Observatory
,Liverpool (before 1867),992,,Liverpool (before 1867)
,Liverpool (since 1867),991,,Liverpool (since 1867)
,Ljubljana,103,,Ljubljana
,Llano de Chajnantor Observatory,,,Llano de Chajnantor Observatory
,Llano del Hato National Radio Observatory,,,Llano del Hato National Radio Observatory
,Llica d'Amunt,K09,,Llica d'Amunt
,Lo Fossil Observatory,K04,,Lo Fossil Observatory
,Lockyer Technology Centre,,,Lockyer Technology Centre
LOFAR,Low Frequency Array,,,LOFAR
,Lohbach Observatory,L30,,Lohbach Observatory
,Lohrmann Institute,040,,Lohrmann Institute
,Lohrmann-Observatorium,C01,,Lohrmann-Observatorium
,Loiano,598,,Loiano
,Lomazzo Observatory,L53,,Lomazzo Observatory
,Lomnicky Stit,059,,Lomnicky Stit
,London-Mill Hill,998,,London-Mill Hill
,London-Regents Park,969,,London-Regents Park
,"Lone Star Observatory, Caney",H19,,"Lone Star Observatory, Caney"
,Loomberah,422,,Loomberah
,Loose Goose Observatory,W70,,Loose Goose Observatory
,Los Altos de Arguineguin Observatory,J55,,Los Altos de Arguineguin Observatory
,Los Angeles,680,,Los Angeles
,Loudwater,497,,Loudwater
,Lowell Discovery Telescope,G37,,Lowell Discovery Telescope
,"Lowell Observatory, Anderson Mesa Station",688,,"Lowell Observatory, Anderson Mesa Station"
,"Lowell Observatory, Flagstaff",690,,"Lowell Observatory, Flagstaff"
,Lowell Observatory-LONEOS,699,,Lowell Observatory-LONEOS
,Lowerll Observatory,,,Lowerll Observatory
,LPL/Spacewatch II,291,,LPL/Spacewatch II
,Lubeck,530,,Lubeck
,Lucca,A93,,Lucca
,Lulin Observatgory,,,Lulin Observatgory
,Lulin Observatory,D35,,Lulin Observatory
,"Lulin Widefield Telescope, Mt. Lulin",D37,,"Lulin Widefield Telescope, Mt. Lulin"
,Lumezzane,130,,Lumezzane
,Lumijoki,A70,,Lumijoki
,Luna 10,,,Luna 10
,Luna 12,,,Luna 12
,"Lunar Cafe Observatory, Flint",847,,"Lunar Cafe Observatory, Flint"
,Lunar Prospector,,,Lunar Prospector
,Lund,039,,Lund
,Lund Observatory,,,Lund Observatory
,Luoxue Mountain Cosmic Rays Research Center,,,Luoxue Mountain Cosmic Rays Research Center
,Luscherz,K30,,Luscherz
LUT,Lunar-based ultraviolet telescope,,,LUT
,Lvov Polytechnic Institute,068,,Lvov Polytechnic Institute
,Lvov University Observatory,067,,Lvov University Observatory
,"Lvye Observatory, Suzhou",P34,,"Lvye Observatory, Suzhou"
LWA,Long Wavelength Array,,,LWA
,Lyon Observatory,,,Lyon Observatory
,Lyons,513,,Lyons
,"M57 Observatory, Saltrio",K38,,"M57 Observatory, Saltrio"
,Macalester College Observatory,,,Macalester College Observatory
,Macclesfield,Z89,,Macclesfield
,Macfarlane Observatory,,,Macfarlane Observatory
